Galaxy,Chi2_NFW,Chi2_LogSVT,b0_m,chi,k1,k2,a1_tilde,a2_tilde,Mass_Msun
NGC3109,11.10842569412088,0.17264965648640757,1591.9881965842303,0.015289466611260545,6.053404131094889e-08,0.0457058990417718,-24.96447973332187,5e-26,803848633.1962308
NGC3198,23.069269368496464,7.4974530115759235,4999.43323982693,4.041875602550439e-05,0.00011945594693450905,0.003270854381792508,-25.951898810371652,5e-26,62384831070.6339
NGC3521,30.91373553960263,33.9171966811571,1299.1884324962914,4.100623768472224e-13,1.635871158729871e-08,0.004702004471890215,-30.84574120959564,5e-26,96948127187.50217
NGC3726,25.711119503223692,36.86437803257832,3312.092082249985,4.324742225935172e-12,4.7473128193467056e-05,0.0011518349682239507,-99.44518905728998,5e-26,86409293037.985
NGC3741,0.48787915338574694,0.40286644192878784,1308.0029210923567,1.5009433327620576e-18,0.15003515254925215,0.037690615938338994,-99.99978838501237,5e-26,317529639.07638156
NGC3769,6.938567885687019,8.858140700143565,4230.788105683019,3.654262676272181e-10,1.7440876810107526e-11,0.004590206374401352,-99.99689806962361,5e-26,27494546545.731018
NGC3877,25.29239404030267,35.42460571511425,62.16864542738519,2.509126889049397e-16,1.0321919481073221e-08,2.15478172560282e-204,-99.99999299641469,5e-26,97436130775.81256
NGC3893,18.26533624717574,31.334045500614472,4992.5264089759685,4.850042286100084e-24,8.673452927992265e-17,0.0037007042590865486,-98.4466689357188,5e-26,71814953906.26636
NGC3917,2.8711148776160575,2.4321233849194073,2760.7854730341674,6.106193313613066e-08,1.86714739181513e-06,0.026293198143766253,-99.99833757954262,5e-26,30479456559.193287
NGC3949,39.322891163871844,188.5489692465544,1.0025601042410095,4.1047306189917453e-14,1.2608679571141112e-13,7.607732702280501e-57,-99.99999989601139,5e-26,43177645174.39333
NGC3953,11.512331728910205,28.177940018452297,2.8050140462743265,1.2730311677165387e-10,1.2559354871414553e-06,1.0171493559298592e-40,-99.99973797729507,5e-26,179597132134.36227
NGC3972,2.251623711391451,3.317793542060288,4999.380948172514,3.349527325264445e-30,0.018613510045757727,0.006695500887046185,73.32878494007373,5e-26,19147122204.370705
NGC3992,1.3349148437217573,,,,,,,,266083567342.72516
NGC4010,5.675406998919513,5.503416061333922,4999.98025187125,4.161744959100457e-21,2.5398834424867184e-23,0.004997767807570513,-99.99962494757798,5e-26,22584516488.60358
NGC4013,28.521215340333022,23.00888705326424,4999.120437892644,2.6679028517411986e-09,5.2875680115751946e-14,0.001449280264694213,99.79982717555758,5e-26,85658926655.52174
NGC4051,20.941325509549618,90.63753540703406,36.28268955518057,1.4076172171881817e-15,1.369322895600819e-07,5.472552762924552e-88,-99.99996735185285,5e-26,85377567786.8172
NGC4068,2.6285045487801924,inf,4857.1734846722575,4.812521274692348e-36,5.5824965016036284e-37,0.008698795630193799,-99.99999999999999,5e-26,490622184.8399525
NGC4085,43.835891133081006,206.02799113960032,1.0010313382230436,3.8330856781677295e-15,1.7030069938712114e-11,8.057924732185554e-47,-99.99999999711063,5e-26,28817421131.80699
NGC4088,61.900985028113475,97.03118131734216,3629.214280567081,2.162170190154136e-18,1.6379974081291715e-10,8.227664491941741e-53,-99.99999997382113,5e-26,128652969478.55223
NGC4100,3.3779778645740763,3.05149301591564,4998.933909788857,1.9851878895079413e-05,5.35786399107992e-06,0.004456065943124358,-21.39186968058758,5e-26,69034598956.96494
NGC4138,3.2954879262100483,13.997035494548784,4998.074855259094,1.977653372674319e-20,8.449436141442587e-15,0.003619136427104004,-99.5190338387259,5e-26,47678298052.27267
NGC4157,23.491294719756556,31.055115928914276,234.93698813265794,3.953345912249133e-13,8.141437844804909e-25,0.0019641460282030657,96.06881784684384,5e-26,121923652564.92232
NGC4183,0.21282304500648772,0.1885040896185117,1637.4445993873373,7.157247942661814e-09,0.3272343510128918,0.06266510352486643,99.99607728850329,5e-26,18262218969.473904
NGC4214,0.7209973048237414,0.4714695321655409,1740.7269543503828,0.6672190658201905,4.242663751549085e-36,0.09238468204043529,-99.99998712389183,5e-26,1449901685.6897728
NGC4217,93.84096361581233,121.53034304762565,67.47241513264441,1.1658835918075834e-12,2.49528485356572e-06,0.0014926157955651885,-99.18378571599266,5e-26,91795317188.22296
NGC4389,119.80405689751483,inf,11.25066690590451,7.882153282107607e-16,4.4730011020194146e-07,4.129432213401993e-26,-99.99977180056662,5e-26,24924960289.79914
NGC4559,4.998275657633405,2.8106409109149224,4998.555114444849,1.4573357904571046e-07,9.226481213272893e-09,0.0027062642449400647,-99.99857159295233,5e-26,33699034419.460075
NGC5005,15.71355014122392,,,,,,,,201047440154.52545
NGC5033,21.29452857389688,24.792811385356295,4997.631215538097,0.2822769710268209,1.21963886249243e-09,0.007306802714417291,98.90256814228795,5e-26,133472148947.78087
NGC5055,3631.2205374583273,4100.306956371619,908.9562055463484,4.528561713035504e-11,3.7752318052177335e-05,0.0011808847058862484,59.15461695287142,5e-26,173801772903.87384
NGC5371,141.9156311782233,163.34926644319214,5.072451548937921,9.31189240326714e-19,7.8548343629219e-09,1.1150449738137827e-15,-99.9999964946365,5e-26,382694713987.505
NGC5585,38.89960205646116,15.946563221791259,3102.2887048218063,5.481121913577961e-12,2.11139429929622e-14,0.013181828321003649,-96.22889247982579,5e-26,5788623851.231485
NGC5907,17.336011999274376,12.372697548228079,4982.894496079342,0.02515716825958653,0.0014267604108976855,0.0017613048048354572,99.99915301667991,5e-26,232783628806.22937
NGC5985,5.0402963317280705,,,,,,,,290991984122.4299
NGC6015,10.220038143513209,8.999345458404925,4984.628617765214,0.17141335812144565,0.002908226100537584,0.0032748833967479363,94.10410017694187,5e-26,43135996256.606155
NGC6195,64.49821422585337,,,,,,,,433314445469.67975
NGC6503,24.186243982578297,19.188401094086707,3614.3487835585456,0.00020100932273863393,3.977455398193656e-06,0.011676946605718934,-99.98297459427867,5e-26,16548562734.398071
NGC6674,8.015676021142012,,,,,,,,255601210428.95575
NGC6789,2.157317908114755,inf,4999.995073553382,0.012054254754411103,9.907957996367114e-06,0.3340524160810387,-99.99997479223256,5e-26,98648285.59537402
NGC6946,89.32489266416452,88.79304463209922,1.0049775025537002,3.2673764323163545e-15,6.534113966654249e-08,2.031349854827077e-44,-99.99999971820228,5e-26,77279653943.00276
